filename,controller,wsp,Kp,yaw,Tstart,Tstop,Nx,dx,seed,Tint,logfolder,resfolder
dlc11_2_000_ipc1p6_050_04_1004,ipc1p6,4,-0.05,0,100,700,8192,0.341796875,1004,0.344,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_04_2004,ipc1p6,4,-0.05,0,100,700,8192,0.341796875,2004,0.344,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_04_3004,ipc1p6,4,-0.05,0,100,700,8192,0.341796875,3004,0.344,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_06_1006,ipc1p6,6,-0.05,0,100,700,8192,0.5126953125,1006,0.2693333333333333,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_06_2006,ipc1p6,6,-0.05,0,100,700,8192,0.5126953125,2006,0.2693333333333333,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_06_3006,ipc1p6,6,-0.05,0,100,700,8192,0.5126953125,3006,0.2693333333333333,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_08_1008,ipc1p6,8,-0.05,0,100,700,8192,0.68359375,1008,0.23199999999999998,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_08_2008,ipc1p6,8,-0.05,0,100,700,8192,0.68359375,2008,0.23199999999999998,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_08_3008,ipc1p6,8,-0.05,0,100,700,8192,0.68359375,3008,0.23199999999999998,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_10_1010,ipc1p6,10,-0.05,0,100,700,8192,0.8544921875,1010,0.2096,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_10_2010,ipc1p6,10,-0.05,0,100,700,8192,0.8544921875,2010,0.2096,./log/dlc11_2/,./res/dlc11_2/
dlc11_2_000_ipc1p6_050_10_3010,ipc1p6,10,-0.05,0,100,700,8192,0.8544921875,3010,0.2096,./log/dlc11_2/,./res/dlc11_2/
