Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,Phase,controller,wsp,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,1,1,1004,0.344,0.341796875,1.42,dlc11_3_ipcpi_a1_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,1,2,1004,0.344,0.341796875,2.84,dlc11_3_ipcpi_a2_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,1,3,1004,0.344,0.341796875,4.26,dlc11_3_ipcpi_a3_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,1,4,1004,0.344,0.341796875,5.68,dlc11_3_ipcpi_a4_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,2,1,2004,0.344,0.341796875,1.42,dlc11_3_ipcpi_a1_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,2,2,2004,0.344,0.341796875,2.84,dlc11_3_ipcpi_a2_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,2,3,2004,0.344,0.341796875,4.26,dlc11_3_ipcpi_a3_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,2,4,2004,0.344,0.341796875,5.68,dlc11_3_ipcpi_a4_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,3,1,3004,0.344,0.341796875,1.42,dlc11_3_ipcpi_a1_04_3004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,3,2,3004,0.344,0.341796875,2.84,dlc11_3_ipcpi_a2_04_3004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,3,3,3004,0.344,0.341796875,4.26,dlc11_3_ipcpi_a3_04_3004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,4,3,4,3004,0.344,0.341796875,5.68,dlc11_3_ipcpi_a4_04_3004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,1,1,1006,0.2693333333333333,0.5126953125,1.42,dlc11_3_ipcpi_a1_06_1006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,1,2,1006,0.2693333333333333,0.5126953125,2.84,dlc11_3_ipcpi_a2_06_1006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,1,3,1006,0.2693333333333333,0.5126953125,4.26,dlc11_3_ipcpi_a3_06_1006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,1,4,1006,0.2693333333333333,0.5126953125,5.68,dlc11_3_ipcpi_a4_06_1006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,2,1,2006,0.2693333333333333,0.5126953125,1.42,dlc11_3_ipcpi_a1_06_2006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,2,2,2006,0.2693333333333333,0.5126953125,2.84,dlc11_3_ipcpi_a2_06_2006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,2,3,2006,0.2693333333333333,0.5126953125,4.26,dlc11_3_ipcpi_a3_06_2006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,2,4,2006,0.2693333333333333,0.5126953125,5.68,dlc11_3_ipcpi_a4_06_2006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,3,1,3006,0.2693333333333333,0.5126953125,1.42,dlc11_3_ipcpi_a1_06_3006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,3,2,3006,0.2693333333333333,0.5126953125,2.84,dlc11_3_ipcpi_a2_06_3006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,3,3,3006,0.2693333333333333,0.5126953125,4.26,dlc11_3_ipcpi_a3_06_3006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,6,3,4,3006,0.2693333333333333,0.5126953125,5.68,dlc11_3_ipcpi_a4_06_3006
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,1,1,1008,0.23199999999999998,0.68359375,1.42,dlc11_3_ipcpi_a1_08_1008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,1,2,1008,0.23199999999999998,0.68359375,2.84,dlc11_3_ipcpi_a2_08_1008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,1,3,1008,0.23199999999999998,0.68359375,4.26,dlc11_3_ipcpi_a3_08_1008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,1,4,1008,0.23199999999999998,0.68359375,5.68,dlc11_3_ipcpi_a4_08_1008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,2,1,2008,0.23199999999999998,0.68359375,1.42,dlc11_3_ipcpi_a1_08_2008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,2,2,2008,0.23199999999999998,0.68359375,2.84,dlc11_3_ipcpi_a2_08_2008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,2,3,2008,0.23199999999999998,0.68359375,4.26,dlc11_3_ipcpi_a3_08_2008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,2,4,2008,0.23199999999999998,0.68359375,5.68,dlc11_3_ipcpi_a4_08_2008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,3,1,3008,0.23199999999999998,0.68359375,1.42,dlc11_3_ipcpi_a1_08_3008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,3,2,3008,0.23199999999999998,0.68359375,2.84,dlc11_3_ipcpi_a2_08_3008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,3,3,3008,0.23199999999999998,0.68359375,4.26,dlc11_3_ipcpi_a3_08_3008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,8,3,4,3008,0.23199999999999998,0.68359375,5.68,dlc11_3_ipcpi_a4_08_3008
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,1,1,1010,0.2096,0.8544921875,1.42,dlc11_3_ipcpi_a1_10_1010
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,1,2,1010,0.2096,0.8544921875,2.84,dlc11_3_ipcpi_a2_10_1010
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,1,3,1010,0.2096,0.8544921875,4.26,dlc11_3_ipcpi_a3_10_1010
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,1,4,1010,0.2096,0.8544921875,5.68,dlc11_3_ipcpi_a4_10_1010
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,10,2,1,2010,0.2096,0.8544921875,1.42,dlc11_3_ipcpi_a1_10_2010
