Tstart,Tstop,Nx,logfolder,resfolder,controller,Kp,wsp,yaw,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,4,0,1,1004,0.70784,0.341796875,dlc13_0_noipc_04_1004
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,4,0,2,2004,0.70784,0.341796875,dlc13_0_noipc_04_2004
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,4,0,3,3004,0.70784,0.341796875,dlc13_0_noipc_04_3004
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,6,0,1,1006,0.5026133333333332,0.5126953125,dlc13_0_noipc_06_1006
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,6,0,2,2006,0.5026133333333332,0.5126953125,dlc13_0_noipc_06_2006
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,6,0,3,3006,0.5026133333333332,0.5126953125,dlc13_0_noipc_06_3006
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,8,0,1,1008,0.4,0.68359375,dlc13_0_noipc_08_1008
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,8,0,2,2008,0.4,0.68359375,dlc13_0_noipc_08_2008
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,8,0,3,3008,0.4,0.68359375,dlc13_0_noipc_08_3008
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,10,0,1,1010,0.338432,0.8544921875,dlc13_0_noipc_10_1010
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,10,0,2,2010,0.338432,0.8544921875,dlc13_0_noipc_10_2010
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,10,0,3,3010,0.338432,0.8544921875,dlc13_0_noipc_10_3010
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,12,0,1,1012,0.29738666666666663,1.025390625,dlc13_0_noipc_12_1012
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,12,0,2,2012,0.29738666666666663,1.025390625,dlc13_0_noipc_12_2012
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,12,0,3,3012,0.29738666666666663,1.025390625,dlc13_0_noipc_12_3012
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,14,0,1,1014,0.26806857142857143,1.1962890625,dlc13_0_noipc_14_1014
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,14,0,2,2014,0.26806857142857143,1.1962890625,dlc13_0_noipc_14_2014
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,14,0,3,3014,0.26806857142857143,1.1962890625,dlc13_0_noipc_14_3014
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,16,0,1,1016,0.24608000000000002,1.3671875,dlc13_0_noipc_16_1016
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,16,0,2,2016,0.24608000000000002,1.3671875,dlc13_0_noipc_16_2016
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,16,0,3,3016,0.24608000000000002,1.3671875,dlc13_0_noipc_16_3016
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,18,0,1,1018,0.22897777777777778,1.5380859375,dlc13_0_noipc_18_1018
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,18,0,2,2018,0.22897777777777778,1.5380859375,dlc13_0_noipc_18_2018
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,18,0,3,3018,0.22897777777777778,1.5380859375,dlc13_0_noipc_18_3018
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,20,0,1,1020,0.215296,1.708984375,dlc13_0_noipc_20_1020
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,20,0,2,2020,0.215296,1.708984375,dlc13_0_noipc_20_2020
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,20,0,3,3020,0.215296,1.708984375,dlc13_0_noipc_20_3020
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,22,0,1,1022,0.2041018181818182,1.8798828125,dlc13_0_noipc_22_1022
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,22,0,2,2022,0.2041018181818182,1.8798828125,dlc13_0_noipc_22_2022
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,22,0,3,3022,0.2041018181818182,1.8798828125,dlc13_0_noipc_22_3022
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,24,0,1,1024,0.19477333333333335,2.05078125,dlc13_0_noipc_24_1024
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,24,0,2,2024,0.19477333333333335,2.05078125,dlc13_0_noipc_24_2024
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,24,0,3,3024,0.19477333333333335,2.05078125,dlc13_0_noipc_24_3024
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,26,0,1,1026,0.18688,2.2216796875,dlc13_0_noipc_26_1026
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,26,0,2,2026,0.18688,2.2216796875,dlc13_0_noipc_26_2026
100,700,8192,./log/dlc13_0/,./res/dlc13_0/,noipc,0,26,0,3,3026,0.18688,2.2216796875,dlc13_0_noipc_26_3026
