Tstart,Tstop,Nx,logfolder,resfolder,yaw,Kp,wsp,controller,_seed,seed,Tint,dx,filename
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc04,1,1004,0.344,0.341796875,dlc15_1_ipc04_04_1004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc04,2,2004,0.344,0.341796875,dlc15_1_ipc04_04_2004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc04,3,3004,0.344,0.341796875,dlc15_1_ipc04_04_3004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc07,1,1004,0.344,0.341796875,dlc15_1_ipc07_04_1004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc07,2,2004,0.344,0.341796875,dlc15_1_ipc07_04_2004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,4,ipc07,3,3004,0.344,0.341796875,dlc15_1_ipc07_04_3004
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc04,1,1006,0.2693333333333333,0.5126953125,dlc15_1_ipc04_06_1006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc04,2,2006,0.2693333333333333,0.5126953125,dlc15_1_ipc04_06_2006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc04,3,3006,0.2693333333333333,0.5126953125,dlc15_1_ipc04_06_3006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc07,1,1006,0.2693333333333333,0.5126953125,dlc15_1_ipc07_06_1006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc07,2,2006,0.2693333333333333,0.5126953125,dlc15_1_ipc07_06_2006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,6,ipc07,3,3006,0.2693333333333333,0.5126953125,dlc15_1_ipc07_06_3006
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc04,1,1008,0.23199999999999998,0.68359375,dlc15_1_ipc04_08_1008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc04,2,2008,0.23199999999999998,0.68359375,dlc15_1_ipc04_08_2008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc04,3,3008,0.23199999999999998,0.68359375,dlc15_1_ipc04_08_3008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc07,1,1008,0.23199999999999998,0.68359375,dlc15_1_ipc07_08_1008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc07,2,2008,0.23199999999999998,0.68359375,dlc15_1_ipc07_08_2008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,8,ipc07,3,3008,0.23199999999999998,0.68359375,dlc15_1_ipc07_08_3008
100,700,8192,./log/dlc15_1/,./res/dlc15_1/,0,-1,10,ipc04,1,1010,0.2096,0.8544921875,dlc15_1_ipc04_10_1010
