Tstart,Tstop,Nx,logfolder,resfolder,yaw,Phase,Kp,wsp,controller,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,1,1,1004,0.344,0.341796875,1.12,dlc15_2_ipc04_a1_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,1,2,1004,0.344,0.341796875,2.24,dlc15_2_ipc04_a2_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,1,3,1004,0.344,0.341796875,3.3600000000000003,dlc15_2_ipc04_a3_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,1,4,1004,0.344,0.341796875,4.48,dlc15_2_ipc04_a4_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,2,1,2004,0.344,0.341796875,1.12,dlc15_2_ipc04_a1_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,2,2,2004,0.344,0.341796875,2.24,dlc15_2_ipc04_a2_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,2,3,2004,0.344,0.341796875,3.3600000000000003,dlc15_2_ipc04_a3_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,2,4,2004,0.344,0.341796875,4.48,dlc15_2_ipc04_a4_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,3,1,3004,0.344,0.341796875,1.12,dlc15_2_ipc04_a1_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,3,2,3004,0.344,0.341796875,2.24,dlc15_2_ipc04_a2_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,3,3,3004,0.344,0.341796875,3.3600000000000003,dlc15_2_ipc04_a3_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc04,3,4,3004,0.344,0.341796875,4.48,dlc15_2_ipc04_a4_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,1,1,1004,0.344,0.341796875,1.39,dlc15_2_ipc07_a1_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,1,2,1004,0.344,0.341796875,2.78,dlc15_2_ipc07_a2_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,1,3,1004,0.344,0.341796875,4.17,dlc15_2_ipc07_a3_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,1,4,1004,0.344,0.341796875,5.56,dlc15_2_ipc07_a4_04_1004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,2,1,2004,0.344,0.341796875,1.39,dlc15_2_ipc07_a1_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,2,2,2004,0.344,0.341796875,2.78,dlc15_2_ipc07_a2_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,2,3,2004,0.344,0.341796875,4.17,dlc15_2_ipc07_a3_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,2,4,2004,0.344,0.341796875,5.56,dlc15_2_ipc07_a4_04_2004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,3,1,3004,0.344,0.341796875,1.39,dlc15_2_ipc07_a1_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,3,2,3004,0.344,0.341796875,2.78,dlc15_2_ipc07_a2_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,3,3,3004,0.344,0.341796875,4.17,dlc15_2_ipc07_a3_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,4,ipc07,3,4,3004,0.344,0.341796875,5.56,dlc15_2_ipc07_a4_04_3004
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,1,1,1006,0.2693333333333333,0.5126953125,1.12,dlc15_2_ipc04_a1_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,1,2,1006,0.2693333333333333,0.5126953125,2.24,dlc15_2_ipc04_a2_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,1,3,1006,0.2693333333333333,0.5126953125,3.3600000000000003,dlc15_2_ipc04_a3_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,1,4,1006,0.2693333333333333,0.5126953125,4.48,dlc15_2_ipc04_a4_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,2,1,2006,0.2693333333333333,0.5126953125,1.12,dlc15_2_ipc04_a1_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,2,2,2006,0.2693333333333333,0.5126953125,2.24,dlc15_2_ipc04_a2_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,2,3,2006,0.2693333333333333,0.5126953125,3.3600000000000003,dlc15_2_ipc04_a3_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,2,4,2006,0.2693333333333333,0.5126953125,4.48,dlc15_2_ipc04_a4_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,3,1,3006,0.2693333333333333,0.5126953125,1.12,dlc15_2_ipc04_a1_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,3,2,3006,0.2693333333333333,0.5126953125,2.24,dlc15_2_ipc04_a2_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,3,3,3006,0.2693333333333333,0.5126953125,3.3600000000000003,dlc15_2_ipc04_a3_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc04,3,4,3006,0.2693333333333333,0.5126953125,4.48,dlc15_2_ipc04_a4_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,1,1,1006,0.2693333333333333,0.5126953125,1.39,dlc15_2_ipc07_a1_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,1,2,1006,0.2693333333333333,0.5126953125,2.78,dlc15_2_ipc07_a2_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,1,3,1006,0.2693333333333333,0.5126953125,4.17,dlc15_2_ipc07_a3_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,1,4,1006,0.2693333333333333,0.5126953125,5.56,dlc15_2_ipc07_a4_06_1006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,2,1,2006,0.2693333333333333,0.5126953125,1.39,dlc15_2_ipc07_a1_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,2,2,2006,0.2693333333333333,0.5126953125,2.78,dlc15_2_ipc07_a2_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,2,3,2006,0.2693333333333333,0.5126953125,4.17,dlc15_2_ipc07_a3_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,2,4,2006,0.2693333333333333,0.5126953125,5.56,dlc15_2_ipc07_a4_06_2006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,3,1,3006,0.2693333333333333,0.5126953125,1.39,dlc15_2_ipc07_a1_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,3,2,3006,0.2693333333333333,0.5126953125,2.78,dlc15_2_ipc07_a2_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,3,3,3006,0.2693333333333333,0.5126953125,4.17,dlc15_2_ipc07_a3_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,6,ipc07,3,4,3006,0.2693333333333333,0.5126953125,5.56,dlc15_2_ipc07_a4_06_3006
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc04,1,1,1008,0.23199999999999998,0.68359375,1.12,dlc15_2_ipc04_a1_08_1008
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,8,ipc04,1,2,1008,0.23199999999999998,0.68359375,2.24,dlc15_2_ipc04_a2_08_1008
